Clay,Stir_Time,TRE100,Res_NTU,Perc_Red,Time,Red_Eff,TimeCat,Mean,StDev,,Clay,Stir_Time,TRE100,Res_NTU,Perc_Red,Time,Red_Eff,Mean,StDev,,TRE Min,TRE Max,Clay,Stir_Time,Mean,StDev,,"Table # | Means, standard deviations, and differences iacross mixing time means (DiffMeans) among clay types. Higher positive DiffMeans indicate better returns on investment of mixing time within that clay type.",,,,,,,,,,
Bentonite,10m,0.35,268,69.2,12,5.77,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentonite,10m,0.68,252,70.9,12,5.91,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentonite,10m,0.97,239,72.4,12,6.03,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentonite,10m,1.42,224,74.7,12,6.23,5,0.58,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,10s,12.00,20.1,96.9,9,10.77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,10s,15.04,21.1,96.6,8,12.08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,10s,15.19,18.5,97.1,8,12.14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,10s,15.28,16.6,97.4,8,12.18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,10s,16.95,21.0,96.7,7.5,12.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,10s,18.89,24.9,96.1,7,13.73,1,15.56,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,30s,21.46,22.9,96.4,6.5,14.83,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,30s,24.22,24.2,96.1,6,16.02,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,30s,24.53,19.4,96.9,6,16.15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,30s,24.57,18.9,97.0,6,16.17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,30s,27.57,24.7,96.0,5.5,17.45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,30s,31.82,22.5,96.4,5,19.28,2,25.70,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,1m,24.42,21.4,96.6,6,16.10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,1m,24.65,17.9,97.2,6,16.20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,1m,24.69,17.1,97.3,6,16.22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,1m,27.78,22.1,96.5,5.5,17.55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,1m,31.87,21.9,96.5,5,19.30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,1m,31.92,20.7,96.6,5,19.32,3,27.56,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,5m,51.67,16.5,97.3,3.5,27.80,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,5m,61.45,24.8,96.0,3,32.00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,5m,61.92,21.0,96.6,3,32.20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,5m,62.46,16.8,97.3,3,32.43,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,5m,99.18,22.8,96.4,2,48.20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,5m,100.00,18.1,97.1,2,48.55,4,72.78,21.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,10m,61.53,23.9,96.1,3,32.03,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,10m,61.92,21.2,96.6,3,32.20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,10m,62.07,20.0,96.8,3,32.27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,10m,62.15,20.1,96.9,3,32.30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,10m,62.23,18.7,97.0,3,32.33,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sea,10m,62.77,14.8,97.7,3,32.57,5,62.11,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,10s,9.70,19.4,97.8,10,9.78,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,10s,9.77,16.4,98.1,10,9.81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,10s,10.90,19.1,97.8,9.5,10.29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,10s,10.95,17.8,98.0,9.5,10.32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
