Clay,Stir_Time,Stir_time_min,Res_NTU,Perc_Red_Tar,Time,TRE,Perc_Red,Red_Eff,,Variable,Avg,Std. Dev.,,Clay,Stir_Time,Res_NTU,Perc_Red_Tar,Time,TRE,Perc_Red,Red_Eff,,Variable,Avg,Std. Dev.
Green Sea,5 min,5,22.8,100.4,3.5,50.18,97.3,27.80,,Time,2.75,0.56,,,,,,,,,,,,,
Green Sea,5 min,5,18.1,101.16,3,50.58,96.0,32.00,,Res_NTU,20.00,3.11,,,,,,,,,,,,,
Green Sea,5 min,5,16.8,101.4,3,33.79,96.6,32.20,,%_red,96.78,0.49,,,,,,,,,,,,,
Green Sea,5 min,5,24.8,100.0,3,33.34,97.3,32.43,,R(TAR) %,100.84,0.52,,,,,,,,,,,,,
Green Sea,5 min,5,16.5,101.4,2,28.98,96.4,48.20,,TRE,38.40,8.62,,,,,,,,,,,,,
Green Sea,5 min,5,21.0,100.7,2,33.56,97.1,48.55,,,,,,,,,,,,,,,,,
Green Sea,10 min,10,20.0,100.8,3,33.61,96.1,32.03,,Time,3.00,0.00,,,,,,,,,,,,,
Green Sea,10 min,10,20.1,100.8,3,33.6,96.6,32.20,,Res_NTU,19.78,2.74,,,,,,,,,,,,,
Green Sea,10 min,10,14.8,101.6,3,33.88,96.8,32.27,,%_red,96.85,0.48,,,,,,,,,,,,,
Green Sea,10 min,10,23.9,100.2,3,33.39,96.9,32.30,,R(TAR) %,100.86,0.44,,,,,,,,,,,,,
Green Sea,10 min,10,21.2,100.6,3,33.55,97.0,32.33,,TRE,33.62,0.15,,,,,,,,,,,,,
Green Sea,10 min,10,18.7,101.1,3,33.69,97.7,32.57,,,,,,,,,,,,,,,,,
Kaolin,10 sec,0.17,16.4,101.0,10,10.1,97.8,9.78,,Time,9.50,0.41,,,,,,,,,,,,,
Kaolin,10 sec,0.17,24.9,100.0,10,11.11,98.1,9.81,,Res_NTU,19.93,2.80,,,,,,,,,,,,,
Kaolin,10 sec,0.17,22.0,100.4,9.5,11.15,97.8,10.29,,%_red,97.72,0.33,,,,,,,,,,,,,
Kaolin,10 sec,0.17,19.4,100.7,9.5,10.07,98.0,10.32,,R(TAR) %,100.59,0.33,,,,,,,,,,,,,
Kaolin,10 sec,0.17,17.8,100.8,9,10.61,97.1,10.79,,TRE,10.61,0.43,,,,,,,,,,,,,
Kaolin,10 sec,0.17,19.1,100.7,9,10.6,97.5,10.83,,,,,,,,,,,,,,,,,
Kaolin,30 sec,0.5,21.9,100.4,6,16.73,97.5,16.25,,Time,5.50,0.41,,,,,,,,,,,,,
Kaolin,30 sec,0.5,22.8,100.3,6,20.05,97.9,16.32,,Res_NTU,22.43,2.51,,,,,,,,,,,,,
Kaolin,30 sec,0.5,21.7,100.4,5.5,20.08,97.1,17.65,,%_red,97.43,0.27,,,,,,,,,,,,,
Kaolin,30 sec,0.5,17.8,100.9,5.5,16.81,97.1,17.65,,R(TAR) %,100.30,0.30,,,,,,,,,,,,,
Kaolin,30 sec,0.5,25.4,100.0,5,18.17,97.5,19.50,,TRE,18.34,1.35,,,,,,,,,,,,,
Kaolin,30 sec,0.5,25.0,100.0,5,18.18,97.5,19.50,,,,,,,,,,,,,,,,,
Kaolin,1 min,1,24.8,100.0,5.5,20,97.4,17.71,,Time,5.33,0.24,,,,,,,,,,,,,
Kaolin,1 min,1,24.3,100.1,5.5,20.02,97.5,17.73,,Res_NTU,22.47,1.70,,,,,,,,,,,,,
Kaolin,1 min,1,23.0,100.2,5.5,18.23,97.6,17.75,,%_red,97.42,0.17,,,,,,,,,,,,,
Kaolin,1 min,1,20.4,100.6,5.5,18.28,97.6,17.75,,R(TAR) %,100.30,0.20,,,,,,,,,,,,,
Kaolin,1 min,1,21.7,100.4,5,18.25,97.2,19.44,,TRE,18.84,0.83,,,,,,,,,,,,,
Kaolin,1 min,1,20.6,100.5,5,18.28,97.2,19.44,,,,,,,,,,,,,,,,,
Kaolin,5 min,5,16.6,101.0,4,25.25,98.1,24.53,,Time,3.08,0.45,,,,,,,,,,,,,
Kaolin,5 min,5,17.4,100.9,3,33.63,97.4,32.47,,Res_NTU,19.65,3.32,,,,,,,,,,,,,
Kaolin,5 min,5,22.8,100.3,3,33.42,97.5,32.50,,%_red,97.75,0.36,,,,,,,,,,,,,
Kaolin,5 min,5,24.1,100.1,3,40.04,98.0,32.67,,R(TAR) %,100.64,0.40,,,,,,,,,,,,,
Kaolin,5 min,5,21.6,100.4,3,33.47,98.2,32.73,,TRE,33.26,4.29,,,,,,,,,,,,,
Kaolin,5 min,5,15.4,101.2,2.5,33.72,97.3,38.92,,,,,,,,,,,,,,,,,
Kaolin,10 min,10,23.0,100.2,4,25.06,97.4,24.35,,Time,3.42,0.45,,,,,,,,,,,,,
Kaolin,10 min,10,21.8,100.4,4,25.1,97.5,24.38,,Res_NTU,20.37,3.77,,,,,,,,,,,,,
Kaolin,10 min,10,23.6,100.2,3.5,28.62,97.3,27.80,,%_red,97.67,0.43,,,,,,,,,,,,,
Kaolin,10 min,10,23.4,100.2,3,33.4,97.3,32.43,,R(TAR) %,100.55,0.45,,,,,,,,,,,,,
Kaolin,10 min,10,16.5,101.0,3,33.67,98.1,32.70,,TRE,29.94,3.86,,,,,,,,,,,,,
Kaolin,10 min,10,13.9,101.3,3,33.78,98.4,32.80,,,,,,,,,,,,,,,,,
Rhassoul,10 sec,0.17,24.4,100.07,10,12.51,97.2,9.72,,Time,8.92,0.67,,,,,,,,,,,,,
Rhassoul,10 sec,0.17,23.9,100.13,9.5,10.01,97.4,10.25,,Res_NTU,22.25,1.84,,,,,,,,,,,,,
Rhassoul,10 sec,0.17,22.2,100.34,9,10.56,97.3,10.81,,%_red,97.38,0.21,,,,,,,,,,,,,
Rhassoul,10 sec,0.17,23.3,100.21,8.5,11.13,97.6,11.48,,R(TAR) %,100.33,0.22,,,,,,,,,,,,,
Rhassoul,10 sec,0.17,20.3,100.57,8.5,11.83,97.7,11.49,,TRE,11.31,0.84,,,,,,,,,,,,,
Rhassoul,10 sec,0.17,19.4,100.67,8,11.84,97.1,12.14,,,,,,,,,,,,,,,,,
Rhassoul,30 sec,0.5,24.4,100.07,10,16.68,97.3,9.73,,Time,7.33,1.72,,,,,,,,,,,,,
Rhassoul,30 sec,0.5,20.6,100.54,9.5,16.76,97.4,10.25,,Res_NTU,22.40,1.42,,,,,,,,,,,,,
Rhassoul,30 sec,0.5,23.0,100.24,6.5,10.02,97.6,15.02,,%_red,97.37,0.16,,,,,,,,,,,,,
Rhassoul,30 sec,0.5,22.6,100.29,6,10.56,97.1,16.18,,R(TAR) %,100.32,0.17,,,,,,,,,,,,,
Rhassoul,30 sec,0.5,20.5,100.54,6,15.47,97.3,16.22,,TRE,14.37,2.92,,,,,,,,,,,,,
Rhassoul,30 sec,0.5,23.3,100.21,6,16.7,97.5,16.25,,,,,,,,,,,,,,,,,
Rhassoul,1 min,1,20.1,100.6,9,12.58,97.2,10.80,,Time,7.25,1.15,,,,,,,,,,,,,
Rhassoul,1 min,1,24.4,100.07,8,12.51,97.1,12.14,,Res_NTU,23.08,1.64,,,,,,,,,,,,,
Rhassoul,1 min,1,24.8,100.02,8,16.67,97.6,12.20,,%_red,97.28,0.18,,,,,,,,,,,,,
Rhassoul,1 min,1,24.2,100.1,6.5,11.12,97.4,14.98,,R(TAR) %,100.23,0.20,,,,,,,,,,,,,
Rhassoul,1 min,1,21.9,100.38,6,15.44,97.1,16.18,,TRE,14.17,2.19,,,,,,,,,,,,,
Rhassoul,1 min,1,23.1,100.23,6,16.71,97.3,16.22,,,,,,,,,,,,,,,,,
Rhassoul,5 min,5,20.1,100.6,6,25.15,97.2,16.20,,Time,5.00,0.58,,,,,,,,,,,,,
Rhassoul,5 min,5,21.7,100.4,5,20.08,97.3,19.46,,Res_NTU,21.78,1.75,,,,,,,,,,,,,
Rhassoul,5 min,5,23.3,100.21,5,20.04,97.3,19.46,,%_red,97.43,0.21,,,,,,,,,,,,,
Rhassoul,5 min,5,18.9,100.74,5,20.15,97.4,19.48,,R(TAR) %,100.39,0.21,,,,,,,,,,,,,
Rhassoul,5 min,5,23.2,100.22,5,20.04,97.8,19.56,,TRE,20.36,2.47,,,,,,,,,,,,,
Rhassoul,5 min,5,23.5,100.18,4,16.7,97.6,24.40,,,,,,,,,,,,,,,,,
Rhassoul,10 min,10,19.6,101,8,16.78,97.3,12.16,,Time,5.67,1.21,,,,,,,,,,,,,
Rhassoul,10 min,10,22.8,100.26,6,12.53,97.1,16.18,,Res_NTU,19.10,3.92,,,,,,,,,,,,,
Rhassoul,10 min,10,24.4,100,6,16.68,97.7,16.28,,%_red,97.75,0.46,,,,,,,,,,,,,
Rhassoul,10 min,10,18.2,100.8,5,22.4,98.0,19.60,,R(TAR) %,100.71,0.48,,,,,,,,,,,,,
Rhassoul,10 min,10,12.3,101.5,4.5,22.56,97.9,21.76,,TRE,18.52,3.57,,,,,,,,,,,,,
Rhassoul,10 min,10,17,101,4.5,20.19,98.5,21.89,,,,,,,,,,,,,,,,,
